,ENSEMBL_ID
1155,ENSG00000089123
1156,ENSG00000089127
1157,ENSG00000089154
1158,ENSG00000089157
1159,ENSG00000089159
1160,ENSG00000089177
1161,ENSG00000089195
1162,ENSG00000089220
1163,ENSG00000089234
1164,ENSG00000089248
1165,ENSG00000089280
1166,ENSG00000089327
1167,ENSG00000089335
1168,ENSG00000089351
1169,ENSG00000089486
1170,ENSG00000089597
1171,ENSG00000089639
1172,ENSG00000089693
1173,ENSG00000089737
1174,ENSG00000089818
1175,ENSG00000089876
1176,ENSG00000089902
1177,ENSG00000089916
1178,ENSG00000090006
1179,ENSG00000090013
1180,ENSG00000090020
1181,ENSG00000090054
1182,ENSG00000090060
1183,ENSG00000090061
1184,ENSG00000090097
1185,ENSG00000090104
1186,ENSG00000090238
1187,ENSG00000090263
1188,ENSG00000090266
1189,ENSG00000090273
1190,ENSG00000090316
1191,ENSG00000090339
1192,ENSG00000090372
1193,ENSG00000090382
1194,ENSG00000090432
1195,ENSG00000090447
1196,ENSG00000090470
1197,ENSG00000090487
1198,ENSG00000090520
1199,ENSG00000090554
1200,ENSG00000090565
1201,ENSG00000090581
1202,ENSG00000090612
1203,ENSG00000090615
1204,ENSG00000090621
1205,ENSG00000090661
1206,ENSG00000090674
1207,ENSG00000090686
1208,ENSG00000090857
1209,ENSG00000090861
1210,ENSG00000090863
1211,ENSG00000090905
1212,ENSG00000090924
1213,ENSG00000090971
1214,ENSG00000090989
1215,ENSG00000091009
1216,ENSG00000091039
1217,ENSG00000091073
1218,ENSG00000091127
1219,ENSG00000091136
1220,ENSG00000091140
1221,ENSG00000091157
1222,ENSG00000091164
1223,ENSG00000091317
1224,ENSG00000091409
1225,ENSG00000091436
1226,ENSG00000091483
1227,ENSG00000091490
1228,ENSG00000091527
1229,ENSG00000091542
1230,ENSG00000091592
1231,ENSG00000091640
1232,ENSG00000091732
1233,ENSG00000091947
1234,ENSG00000091972
1235,ENSG00000091986
1236,ENSG00000092010
1237,ENSG00000092020
1238,ENSG00000092036
1239,ENSG00000092068
1240,ENSG00000092094
1241,ENSG00000092098
1242,ENSG00000092108
1243,ENSG00000092140
