,ENSEMBL_ID
768,ENSG00000072756
769,ENSG00000072778
770,ENSG00000072786
771,ENSG00000072803
772,ENSG00000072818
773,ENSG00000072849
774,ENSG00000072864
775,ENSG00000072954
776,ENSG00000072958
777,ENSG00000073008
778,ENSG00000073050
779,ENSG00000073060
780,ENSG00000073169
781,ENSG00000073331
782,ENSG00000073350
783,ENSG00000073417
784,ENSG00000073536
785,ENSG00000073578
786,ENSG00000073584
787,ENSG00000073605
788,ENSG00000073614
789,ENSG00000073712
790,ENSG00000073803
791,ENSG00000073849
792,ENSG00000073910
793,ENSG00000073921
794,ENSG00000073969
795,ENSG00000074054
796,ENSG00000074071
797,ENSG00000074181
798,ENSG00000074201
799,ENSG00000074219
800,ENSG00000074266
801,ENSG00000074319
802,ENSG00000074356
803,ENSG00000074370
804,ENSG00000074416
805,ENSG00000074527
806,ENSG00000074582
807,ENSG00000074603
808,ENSG00000074621
809,ENSG00000074657
810,ENSG00000074695
811,ENSG00000074696
812,ENSG00000074755
813,ENSG00000074800
814,ENSG00000074842
815,ENSG00000074855
816,ENSG00000074935
817,ENSG00000074964
818,ENSG00000075089
819,ENSG00000075131
820,ENSG00000075142
821,ENSG00000075151
822,ENSG00000075188
823,ENSG00000075234
824,ENSG00000075239
825,ENSG00000075240
826,ENSG00000075292
827,ENSG00000075303
828,ENSG00000075336
829,ENSG00000075391
830,ENSG00000075399
831,ENSG00000075407
832,ENSG00000075413
833,ENSG00000075415
834,ENSG00000075420
835,ENSG00000075426
836,ENSG00000075539
837,ENSG00000075568
838,ENSG00000075618
839,ENSG00000075624
840,ENSG00000075651
841,ENSG00000075711
842,ENSG00000075785
843,ENSG00000075790
844,ENSG00000075856
845,ENSG00000075914
846,ENSG00000075945
847,ENSG00000076003
848,ENSG00000076043
849,ENSG00000076053
850,ENSG00000076067
851,ENSG00000076108
852,ENSG00000076201
853,ENSG00000076242
854,ENSG00000076248
855,ENSG00000076258
856,ENSG00000076321
857,ENSG00000076351
858,ENSG00000076356
859,ENSG00000076382
860,ENSG00000076513
861,ENSG00000076554
862,ENSG00000076555
863,ENSG00000076604
864,ENSG00000076650
865,ENSG00000076662
866,ENSG00000076685
867,ENSG00000076864
868,ENSG00000076924
869,ENSG00000076928
870,ENSG00000076944
871,ENSG00000076984
872,ENSG00000077044
873,ENSG00000077097
874,ENSG00000077147
875,ENSG00000077150
876,ENSG00000077157
877,ENSG00000077232
878,ENSG00000077235
879,ENSG00000077238
880,ENSG00000077254
881,ENSG00000077312
882,ENSG00000077348
883,ENSG00000077380
884,ENSG00000077420
885,ENSG00000077454
886,ENSG00000077458
887,ENSG00000077514
888,ENSG00000077549
889,ENSG00000077585
890,ENSG00000077684
891,ENSG00000077713
892,ENSG00000077721
893,ENSG00000077782
894,ENSG00000078043
895,ENSG00000078061
896,ENSG00000078070
897,ENSG00000078124
898,ENSG00000078140
899,ENSG00000078142
900,ENSG00000078237
901,ENSG00000078246
902,ENSG00000078269
903,ENSG00000078304
904,ENSG00000078369
905,ENSG00000078403
906,ENSG00000078487
907,ENSG00000078596
908,ENSG00000078618
909,ENSG00000078668
910,ENSG00000078674
911,ENSG00000078687
912,ENSG00000078699
913,ENSG00000078747
914,ENSG00000078804
915,ENSG00000078808
916,ENSG00000078902
917,ENSG00000078967
918,ENSG00000079134
919,ENSG00000079150
920,ENSG00000079215
921,ENSG00000079246
922,ENSG00000079257
923,ENSG00000079277
924,ENSG00000079308
925,ENSG00000079313
926,ENSG00000079332
927,ENSG00000079337
928,ENSG00000079387
929,ENSG00000079432
930,ENSG00000079435
931,ENSG00000079459
932,ENSG00000079462
933,ENSG00000079482
934,ENSG00000079616
935,ENSG00000079691
936,ENSG00000079739
937,ENSG00000079785
938,ENSG00000079805
939,ENSG00000079819
940,ENSG00000079950
941,ENSG00000079974
942,ENSG00000079999
943,ENSG00000080189
944,ENSG00000080345
945,ENSG00000080371
946,ENSG00000080503
947,ENSG00000080546
948,ENSG00000080603
949,ENSG00000080608
950,ENSG00000080802
951,ENSG00000080815
952,ENSG00000080822
953,ENSG00000080823
954,ENSG00000080824
955,ENSG00000080845
956,ENSG00000081019
957,ENSG00000081059
958,ENSG00000081087
959,ENSG00000081154
960,ENSG00000081177
961,ENSG00000081181
962,ENSG00000081189
963,ENSG00000081307
964,ENSG00000081320
965,ENSG00000081377
966,ENSG00000081386
967,ENSG00000081665
968,ENSG00000081692
969,ENSG00000081721
970,ENSG00000081760
971,ENSG00000081791
972,ENSG00000081803
973,ENSG00000081870
974,ENSG00000081913
975,ENSG00000082014
976,ENSG00000082068
977,ENSG00000082146
978,ENSG00000082153
979,ENSG00000082196
980,ENSG00000082212
981,ENSG00000082213
982,ENSG00000082258
983,ENSG00000082269
984,ENSG00000082397
985,ENSG00000082438
986,ENSG00000082512
987,ENSG00000082515
988,ENSG00000082516
989,ENSG00000082641
990,ENSG00000082701
991,ENSG00000082781
992,ENSG00000082805
993,ENSG00000082898
994,ENSG00000082996
995,ENSG00000083093
996,ENSG00000083097
997,ENSG00000083099
998,ENSG00000083123
999,ENSG00000083168
1000,ENSG00000083223
1001,ENSG00000083290
1002,ENSG00000083312
1003,ENSG00000083444
1004,ENSG00000083457
1005,ENSG00000083520
1006,ENSG00000083535
1007,ENSG00000083544
1008,ENSG00000083642
1009,ENSG00000083750
1010,ENSG00000083799
1011,ENSG00000083807
1012,ENSG00000083812
1013,ENSG00000083828
1014,ENSG00000083838
1015,ENSG00000083845
1016,ENSG00000083857
1017,ENSG00000083896
1018,ENSG00000083937
1019,ENSG00000084070
1020,ENSG00000084072
1021,ENSG00000084073
1022,ENSG00000084090
1023,ENSG00000084092
1024,ENSG00000084093
1025,ENSG00000084112
1026,ENSG00000084207
1027,ENSG00000084234
1028,ENSG00000084463
1029,ENSG00000084623
1030,ENSG00000084636
1031,ENSG00000084652
1032,ENSG00000084676
1033,ENSG00000084693
1034,ENSG00000084733
1035,ENSG00000084754
1036,ENSG00000084764
1037,ENSG00000084774
1038,ENSG00000085063
1039,ENSG00000085117
1040,ENSG00000085185
1041,ENSG00000085224
1042,ENSG00000085231
1043,ENSG00000085274
1044,ENSG00000085276
1045,ENSG00000085365
1046,ENSG00000085377
1047,ENSG00000085382
1048,ENSG00000085415
1049,ENSG00000085449
1050,ENSG00000085511
1051,ENSG00000085514
1052,ENSG00000085644
1053,ENSG00000085662
1054,ENSG00000085719
1055,ENSG00000085733
1056,ENSG00000085760
1057,ENSG00000085788
1058,ENSG00000085832
1059,ENSG00000085871
1060,ENSG00000085872
1061,ENSG00000085978
1062,ENSG00000085982
1063,ENSG00000085998
1064,ENSG00000086015
1065,ENSG00000086061
1066,ENSG00000086062
1067,ENSG00000086065
1068,ENSG00000086102
1069,ENSG00000086189
1070,ENSG00000086200
1071,ENSG00000086232
1072,ENSG00000086289
1073,ENSG00000086300
1074,ENSG00000086475
1075,ENSG00000086504
1076,ENSG00000086544
1077,ENSG00000086589
1078,ENSG00000086598
1079,ENSG00000086666
1080,ENSG00000086712
1081,ENSG00000086730
1082,ENSG00000086758
1083,ENSG00000086827
1084,ENSG00000086848
1085,ENSG00000087008
1086,ENSG00000087053
1087,ENSG00000087074
1088,ENSG00000087076
1089,ENSG00000087077
1090,ENSG00000087087
1091,ENSG00000087088
1092,ENSG00000087095
1093,ENSG00000087111
1094,ENSG00000087152
1095,ENSG00000087157
1096,ENSG00000087191
1097,ENSG00000087206
1098,ENSG00000087245
1099,ENSG00000087253
1100,ENSG00000087263
1101,ENSG00000087266
1102,ENSG00000087269
1103,ENSG00000087274
1104,ENSG00000087299
1105,ENSG00000087302
1106,ENSG00000087303
1107,ENSG00000087338
1108,ENSG00000087365
1109,ENSG00000087448
1110,ENSG00000087460
1111,ENSG00000087470
1112,ENSG00000087502
1113,ENSG00000087842
1114,ENSG00000087884
1115,ENSG00000087903
1116,ENSG00000087995
1117,ENSG00000088035
1118,ENSG00000088038
1119,ENSG00000088179
1120,ENSG00000088205
1121,ENSG00000088247
1122,ENSG00000088256
1123,ENSG00000088280
1124,ENSG00000088298
1125,ENSG00000088356
1126,ENSG00000088367
1127,ENSG00000088387
1128,ENSG00000088448
1129,ENSG00000088451
1130,ENSG00000088543
1131,ENSG00000088682
1132,ENSG00000088727
1133,ENSG00000088766
1134,ENSG00000088808
1135,ENSG00000088812
1136,ENSG00000088826
1137,ENSG00000088832
1138,ENSG00000088833
1139,ENSG00000088876
1140,ENSG00000088888
1141,ENSG00000088899
1142,ENSG00000088930
1143,ENSG00000088970
1144,ENSG00000088986
1145,ENSG00000089006
1146,ENSG00000089022
1147,ENSG00000089048
1148,ENSG00000089050
1149,ENSG00000089053
1150,ENSG00000089057
1151,ENSG00000089060
1152,ENSG00000089063
1153,ENSG00000089094
1154,ENSG00000089123
1155,ENSG00000089154
1156,ENSG00000089157
1157,ENSG00000089159
1158,ENSG00000089177
1159,ENSG00000089195
1160,ENSG00000089220
1161,ENSG00000089234
1162,ENSG00000089248
1163,ENSG00000089280
1164,ENSG00000089289
1165,ENSG00000089327
1166,ENSG00000089335
1167,ENSG00000089351
1168,ENSG00000089486
1169,ENSG00000089597
1170,ENSG00000089639
1171,ENSG00000089682
1172,ENSG00000089685
1173,ENSG00000089693
1174,ENSG00000089737
1175,ENSG00000089775
1176,ENSG00000089818
1177,ENSG00000089820
1178,ENSG00000089876
1179,ENSG00000089902
1180,ENSG00000089916
1181,ENSG00000090006
